11       32,34,28,25,21,19,17,15,14,12,10,9,16,19,19,21,22,23,24,25,26,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,26,26,27,27,27,26,26,26,26,26,26,26,25,25,25,26,26,26,26,26,24,24,23,21,20,18,15,8,9,10,12,14,16,18,21,19,90,92,57,30,25,22,18,15,13,11,9,7,6,52,61,64,66,68,68,69,70,71,71,71,71,71,71,71,71,70,69,70,68,66,65,62,57,4,5,8,10,13,15,17,19,23,21
12       9,9,8,28,29,30,31,34,36,38,40,41,41,33,25,24,23,22,21,21,20,20,21,21,20,19,19,19,19,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,19,19,20,20,20,20,20,19,19,19,19,20,20,20,20,19,19,19,19,19,19,19,19,19,20,20,21,23,23,24,28,43,42,41,40,40,39,38,36,35,31,0,0,8,79,88,89,89,89,89,89,89,89,89,30,22,21,21,21,21,20,20,20,20,20,20,20,23,23,23,24,25,25,26,26,25,23,25,49,81,81,79,78,76,75,72,69,64
13       0,0,0,10,16,20,25,28,30,31,33,34,35,36,30,26,25,24,22,21,22,22,21,20,20,20,20,20,20,20,20,21,21,21,21,22,23,24,25,26,31,34,32,31,29,29,31,33,35,36,32,26,24,22,23,21,21,22,21,20,20,19,20,19,19,19,19,19,19,19,19,20,20,20,20,20,20,22,24,25,27,28,37,35,34,32,30,28,25,23,19,13,0,0,0,18,39,51,59,64,70,76,80,81,76,68,53,47,41,38,36,34,33,32,30,30,30,30,30,32,32,34,35,38,42,44,48,59,73,81,80,76,72,68,62,54,45,32,8
14       0,0,0,12,18,22,26,29,32,34,35,37,38,39,36,30,28,27,25,25,24,24,23,22,22,23,23,23,22,22,22,22,23,23,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,25,26,28,28,30,32,40,38,37,36,34,32,30,27,24,20,16,0,40,59,64,68,72,74,77,79,80,82,83,61,32,29,28,27,25,25,23,23,23,22,22,22,22,22,24,24,25,26,27,28,29,31,36,83,81,81,79,77,75,72,69,66,61,53
15       0,0,0,8,15,19,23,26,28,30,32,33,34,36,37,28,25,24,22,23,22,22,20,20,20,20,21,21,20,20,20,20,20,21,22,21,23,26,27,28,31,34,32,30,28,28,29,31,33,35,37,31,28,26,24,23,24,22,23,21,22,22,21,21,20,20,20,20,20,20,20,22,22,21,20,22,23,24,24,26,28,30,38,36,35,34,32,30,27,24,22,18,14,22,43,54,59,65,69,74,77,81,74,69,54,47,42,40,37,35,34,33,32,32,32,32,32,33,32,35,38,41,43,46,51,56,75,82,80,75,71,67,61,57,50,38,17,0,0
16       45,47,47,47,20,15,14,13,12,10,9,8,8,20,23,25,26,27,26,26,27,27,28,28,28,29,29,29,29,29,28,28,28,27,27,26,28,27,26,24,22,15,8,9,9,9,9,8,7,6,20,24,24,26,27,28,28,29,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,27,26,25,26,23,6,7,7,8,10,11,8,90,92,91,27,4,4,4,4,4,4,4,4,32,62,66,67,68,68,68,68,68,68,68,68,67,67,67,66,66,64,63,62,60,57,53,48,43,34,9,11,13,18,23,29,36,43,41
17       45,47,47,36,29,25,22,20,17,15,14,12,10,16,18,21,22,23,25,26,27,24,25,25,25,25,25,25,24,26,26,26,27,27,25,26,25,24,24,22,20,14,14,16,18,18,16,15,13,12,16,21,23,24,25,25,27,25,26,27,26,27,27,27,27,28,28,28,27,27,27,27,27,26,26,25,25,24,26,25,23,22,19,17,11,13,15,16,18,21,24,22,90,92,92,65,49,39,31,26,21,16,12,10,11,29,41,47,50,54,58,60,61,63,65,65,65,65,65,64,63,60,59,57,53,48,42,24,18,9,11,13,17,24,29,36,46,63,61
18       43,46,41,20,18,15,13,12,11,10,9,8,22,24,27,27,28,28,29,27,28,28,28,29,29,29,29,29,29,29,28,28,28,27,27,26,27,27,26,23,19,8,9,9,9,9,9,8,7,6,23,26,28,27,27,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,32,32,31,29,29,28,27,28,25,22,12,7,7,8,9,10,11,8,90,92,91,14,7,5,3,3,3,3,3,3,58,62,66,66,66,67,66,65,64,66,66,65,66,66,65,65,64,63,62,60,59,57,53,50,43,34,8,11,13,20,25,32,39,47,45
19       41,43,32,26,22,20,17,15,13,11,9,7,7,5,13,14,16,18,18,20,20,21,19,21,22,22,23,25,31,32,34,33,32,32,30,31,32,32,32,31,32,31,31,32,30,31,30,32,32,32,31,32,32,31,32,31,31,30,29,32,32,32,32,32,31,31,31,32,31,31,32,32,31,31,31,32,32,30,29,31,31,28,6,0,0,0,0,0,0,0,0,0,66,73,66,63,60,58,55,52,50,46,43,39,39,44,46,45,43,42,44,44,47,46,44,44,44,42,45,46,45,45,44,43,42,41,40,34,36,39,40,42,45,48,50,53,57,61,56
20       45,47,36,30,26,24,20,18,17,15,13,13,18,21,24,25,26,26,28,27,27,28,28,26,26,26,26,26,26,26,27,27,27,27,25,27,25,24,23,22,18,14,16,17,18,18,16,14,12,11,19,22,23,24,25,25,26,24,25,26,26,27,27,27,27,27,27,27,27,27,26,25,26,26,26,25,24,25,25,23,23,20,17,10,12,12,14,16,18,21,24,22,90,92,83,63,47,36,30,23,19,15,10,9,15,30,42,49,52,56,59,59,62,63,64,64,64,64,64,63,62,60,58,56,52,48,41,30,18,8,10,15,20,26,32,39,50,65,63
