41       47,64,64,52,36,3,48,45,24,26,55,39,40,32,0,0,25,56,40,32,0,0,24,56,40,32,0,0,24,56,40,32,0,0,24,56,40,32,0,0,24,56,40,36,0,0,24,56,40,38,0,0,24,56,40,36,0,0,28,55,40,59,48,48,63,31,14,32,32,32,24,0
42       0,0,3,48,42,0,0,0,42,64,35,0,0,25,64,33,0,0,1,55,51,1,0,0,17,64,60,59,38,3,34,64,61,58,64,38,40,59,6,0,40,56,40,51,0,0,24,56,40,48,0,0,24,56,37,57,4,1,40,56,11,61,60,60,64,32,0,11,32,32,20,0
43       39,64,64,64,64,44,40,57,32,32,28,14,40,48,0,0,0,0,40,48,10,10,3,0,40,64,64,64,56,8,27,61,28,22,59,38,0,0,0,0,34,51,0,0,0,0,32,49,27,27,0,0,32,48,43,55,7,12,52,40,13,63,64,64,63,13,0,11,31,32,11,12
44       0,0,37,38,0,0,0,0,59,62,2,0,0,8,64,64,12,0,0,20,64,64,25,0,0,33,59,57,38,0,0,44,46,41,51,0,0,57,33,28,62,2,5,64,30,24,64,12,18,64,64,64,64,23,29,62,40,40,61,35,43,51,3,0,46,47,23,20,0,0,19,27
45       0,14,39,39,18,0,16,63,51,48,64,23,45,47,0,0,41,51,49,33,0,0,32,56,51,38,0,0,32,56,55,40,0,0,32,56,56,40,0,0,32,56,51,37,0,0,32,56,48,32,0,0,25,56,45,53,4,1,44,51,13,61,59,55,63,17,0,11,31,32,12,0
46       29,40,40,40,40,24,48,59,48,48,48,29,48,40,0,0,0,0,48,40,0,0,0,0,48,59,60,61,38,1,45,64,39,41,64,34,0,11,0,0,42,55,0,0,0,0,32,56,30,26,0,0,32,56,52,53,4,1,48,49,23,64,64,64,63,19,0,17,32,32,15,0
47       31,64,64,64,64,55,30,60,24,24,24,20,28,56,0,0,0,0,24,62,6,6,0,0,24,64,64,64,39,1,20,63,47,38,63,31,0,4,1,0,38,54,0,0,0,0,24,56,35,46,0,0,25,56,29,62,23,12,47,52,5,56,64,64,64,23,0,6,31,32,18,0
48       0,0,1,39,15,0,0,0,42,64,31,0,0,26,64,30,0,0,2,59,48,3,0,0,23,64,60,64,38,0,39,64,60,58,64,31,48,57,4,1,44,55,52,41,0,0,24,56,48,42,0,0,24,56,45,56,6,3,43,56,15,63,64,62,64,34,0,16,32,32,23,0
49       17,48,48,51,56,48,24,64,35,32,32,30,24,64,0,0,0,0,24,64,0,0,0,0,28,64,45,48,32,1,29,64,53,46,64,34,0,15,3,0,42,55,0,0,0,0,27,56,53,47,0,0,27,56,40,64,19,0,44,51,8,61,64,60,63,21,0,9,31,32,15,0
50       0,0,6,49,21,0,0,5,54,63,25,0,0,42,64,21,0,0,13,64,36,0,0,0,35,64,59,54,28,0,51,64,49,50,64,30,59,45,0,0,44,53,64,32,0,0,32,56,64,34,0,0,33,56,50,55,7,6,56,48,16,62,64,64,61,14,0,10,31,30,9,0
51       0,21,51,54,29,0,14,63,36,32,63,24,35,45,0,0,38,45,37,43,0,0,33,46,20,62,22,16,56,25,3,60,64,64,62,7,31,58,9,6,53,38,44,35,0,0,29,53,45,33,0,0,29,54,33,53,4,4,51,39,5,53,61,61,57,9,0,2,21,21,3,0
52       0,0,6,42,6,0,0,5,54,63,22,0,0,45,62,15,0,0,17,64,27,0,0,0,43,64,47,43,12,0,60,64,54,61,63,14,64,40,0,6,58,44,64,24,0,0,48,55,64,24,0,0,48,50,62,45,2,17,60,44,31,64,64,64,61,12,0,21,32,31,10,0
