11       0,1,19,33,34,25,5,0,1,27,36,36,36,36,33,4,13,36,27,3,1,21,36,23,22,36,8,0,0,1,36,30,24,36,6,0,0,0,32,30,24,36,6,0,0,0,35,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,7,0,0,0,30,30,24,36,12,0,0,0,30,30,24,36,12,0,0,0,30,30,24,36,12,0,0,0,30,30,18,36,14,0,0,0,32,30,8,36,33,11,6,23,36,26,0,20,36,36,36,36,33,6,0,0,10,12,12,12,4,0
12       6,18,18,18,30,24,6,0,17,36,36,36,36,36,24,6,18,36,20,10,8,18,36,27,18,36,12,0,0,0,31,30,18,36,10,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,29,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,27,30,18,36,6,0,0,0,28,30,22,36,17,12,12,27,36,22,24,36,36,36,36,36,29,3,8,12,12,12,12,10,1,0
13       0,0,8,19,18,11,0,0,0,19,36,36,36,36,26,0,2,35,35,18,14,31,36,14,11,36,19,0,0,8,36,24,14,36,12,0,0,1,36,24,12,36,17,0,0,10,36,22,2,33,34,15,14,33,36,9,0,21,36,36,36,36,26,0,5,36,35,20,16,31,36,8,16,36,16,0,0,6,36,22,24,36,6,0,0,0,33,30,23,36,6,0,0,0,34,29,17,36,11,0,0,7,36,22,6,35,33,15,16,33,36,9,0,15,35,36,36,36,20,0,0,0,4,12,12,6,0,0
14       0,0,5,14,14,6,0,0,0,18,36,36,36,36,20,0,8,36,33,16,14,30,36,15,20,36,10,0,0,4,36,27,24,36,4,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,27,22,36,6,0,0,11,36,23,10,36,31,15,17,35,36,10,0,19,36,36,36,35,16,0,0,0,5,12,12,5,0,0
15       0,1,14,18,17,4,0,0,0,30,36,36,36,35,10,0,12,36,32,19,22,36,34,2,23,36,8,0,0,20,36,13,29,36,0,0,0,12,36,18,27,36,6,0,0,19,36,13,15,36,29,12,22,36,33,2,1,30,36,36,36,36,15,0,18,36,33,20,24,36,33,3,32,36,5,0,0,22,36,15,36,29,0,0,0,12,36,18,36,27,0,0,0,12,36,18,34,34,1,0,0,23,36,15,22,36,27,13,23,36,34,2,3,30,36,36,36,35,10,0,0,1,11,12,12,4,0,0
16       7,12,12,12,15,7,0,0,21,36,36,36,36,36,19,0,18,36,11,6,11,28,36,12,18,36,0,0,0,2,34,28,18,36,0,0,0,0,27,30,18,36,0,0,0,1,33,28,18,36,8,4,7,25,36,14,18,36,36,36,36,36,31,0,18,36,20,16,18,25,36,16,18,36,4,0,0,0,29,29,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,7,34,28,18,36,33,30,30,36,35,8,6,12,12,12,12,12,6,0
17       0,0,6,16,18,8,0,0,0,15,36,36,36,36,21,0,5,36,30,10,9,30,36,11,14,36,10,0,0,8,36,21,18,36,7,0,0,0,36,22,12,36,14,0,0,8,36,17,2,33,32,9,6,27,35,4,0,15,36,36,36,36,21,0,1,31,33,17,15,30,35,6,11,36,14,0,0,6,36,21,17,36,4,0,0,0,31,28,18,36,2,0,0,0,30,30,15,36,9,0,0,1,35,26,5,35,30,6,1,22,36,14,0,15,36,36,36,36,27,1,0,0,6,12,12,11,1,0
18       9,18,22,30,19,14,0,0,18,36,36,36,36,36,25,0,18,36,12,6,8,26,36,15,18,36,6,0,0,1,34,29,18,36,6,0,0,0,30,30,18,36,6,0,0,4,34,28,18,36,17,12,14,30,36,11,18,36,36,36,36,36,33,1,18,36,20,12,14,25,36,18,18,36,6,0,0,0,31,30,18,36,6,0,0,0,29,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,9,0,2,16,36,26,18,36,36,36,36,36,35,7,6,12,12,12,12,12,7,0
19       0,0,10,22,22,12,0,0,0,21,36,36,36,36,25,0,10,36,27,7,7,26,36,15,22,36,4,0,0,3,36,28,9,21,0,0,0,1,36,30,0,0,0,0,0,14,36,22,0,0,0,0,2,33,35,4,0,0,0,0,22,36,18,0,0,0,0,8,36,29,1,0,0,0,1,30,36,8,0,0,0,0,17,36,22,0,0,0,0,4,35,33,2,0,0,0,0,28,36,12,0,0,0,0,15,36,32,2,6,6,6,5,24,36,36,36,36,36,36,30,8,12,12,12,12,12,12,10
20       0,0,13,24,25,17,1,0,0,21,36,36,36,36,25,0,7,36,30,5,3,26,36,12,16,36,13,0,0,7,36,22,18,36,10,0,0,6,36,24,15,36,16,0,0,10,36,20,2,33,33,14,13,30,35,6,0,22,36,36,36,36,25,0,5,35,34,16,14,31,36,9,17,36,15,0,0,7,36,22,23,36,6,0,0,0,34,30,24,36,4,0,0,0,33,30,21,36,10,0,0,5,36,26,9,36,30,10,8,30,36,14,0,21,36,36,36,36,28,1,0,0,9,12,12,11,1,0
